Skole,Studie program,Læringsutbytte type,Læringsutbytte
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har bred kunnskap som gir et helhetlig systemperspektiv på ingeniørfaget generelt, med fordypning i dataingeniørfaget"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har kunnskap om problemløsning, programvareutvikling og grensesnitt, og kjenner til prinsipper for oppbygging av datasystemer og datanettverk"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har god kunnskap om programmering, objektorientert tankegang, algoritmer og digitale kommunikasjonsteknikker"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,har kunnskap om utvikling og anvendelse av industrielle IT-systemer
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har tilegnet seg kunnskap om maskinvare, programvare og systemer for å kunne løse realistiske oppgaver innen cyber-fysiske systemer"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har grunnleggende kunnskaper i matematikk, naturvitenskap, relevante samfunns- og økonomifag og om hvordan disse kan integreres i informasjonsteknologiske problemløsninger"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"har kunnskap om teknologiens historie, teknologiutvikling, ingeniørens rolle i samfunnet, relevante lovbestemmelser knyttet til bruk av datateknologi og programvare samt konsekvenser av utvikling og bruk av informasjonsteknologi"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"kjenner til forsknings- og utviklingsarbeid innenfor eget fagfelt, samt relevante metoder og arbeidsmåter innenfor dataingeniørfaget"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Kunnskaper,"kan oppdatere sin kunnskap innenfor fagfeltet, både gjennom informasjonsinnhenting og kontakt med fagmiljøer og praksis"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"kan anvende kunnskap og relevante resultater fra forsknings- og utviklingsarbeid for å løse teoretiske, tekniske og praktiske problemstillinger innenfor dataingeniørfaget og begrunne sine valg"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"kan arbeide i relevante fysiske og digitale laboratorier og behersker metoder og verktøy som grunnlag for målrettet og innovativt arbeid. Dette inkluderer ferdigheter til å: anvende operativsystemer, systemprogramvare og nettverk; utarbeide krav og modellere, utvikle, integrere og evaluere datasystemer; bruke programmeringsverktøy og systemutviklingsmiljø; utvikle og anvende industrielle og smarte IT-systemer"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"har kunnskap om faglig relevant programvare og har bred ingeniørfaglig digital kompetanse, inkludert grunnleggende programmeringsferdigheter"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"kan identifisere, planlegge og gjennomføre informasjonsteknologiske prosjekter, arbeidsoppgaver, forsøk og eksperimenter både selvstendig og i team"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"kan finne, vurdere, bruke og henvise til informasjon og fagstoff og framstille dette slik at det belyser en problemstilling"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Ferdigheter,"kan bidra til nytenkning, innovasjon og entreprenørskap gjennom deltakelse i utvikling og realisering av bærekraftige og samfunnsnyttige produkter, systemer og/eller løsninger der informasjonsteknologi inngår"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Generell_kompetanse,"har innsikt i miljømessige, helsemessige, samfunnsmessige og økonomiske konsekvenser av produkter og løsninger innenfor sitt fagområde og kan sette disse i et etisk perspektiv og et livsløpsperspektiv"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Generell_kompetanse,"kan identifisere sikkerhets-, sårbarhets-, personverns- og datasikkerhetsaspekter i produkter og systemer som anvender IKT"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Generell_kompetanse,kan formidle kunnskap om informasjonsteknologi til ulike mål­grupper både skriftlig og muntlig og kan bidra til å synliggjøre denne teknologiens betydning og konsekvenser
HIOF,"Bachelor i ingeniørfag data, dataingienør",Generell_kompetanse,"kan reflektere over egen faglig utøvelse, også i team og i en tverrfaglig sammenheng, og kan tilpasse denne til den aktuelle arbeidssituasjon"
HIOF,"Bachelor i ingeniørfag data, dataingienør",Generell_kompetanse,kan bidra til utvikling av god praksis gjennom å delta i faglige diskusjoner innenfor fagområdet og dele sine kunnskaper og erfaringer med andre
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
