Skole,Studie program,Læringsutbytte type,Læringsutbytte
HVL,Bachelor i informasjonsteknologi,Kunnskaper,"har brei kunnskap som gir eit heilskapleg systemperspektiv på informasjonsteknologi, under dette problemløysing, programvareutvikling og grensesnitt og prinsipp for å byggje opp datasystem og datanettverk"
HVL,Bachelor i informasjonsteknologi,Kunnskaper,"har grunnleggjande kunnskapar i matematikk, naturvitskap, relevante samfunns- og økonomifag og om korleis ein kan nytte desse i informasjonsteknologisk problemløysing"
HVL,Bachelor i informasjonsteknologi,Kunnskaper,"har kunnskap om historia og utviklinga til teknologien, rolla han har i samfunnet, relevante lovføresegner knytt til bruken av datateknologi og programvare, og kunnskapar om ulike følgjer ved bruk av informasjonsteknologi"
HVL,Bachelor i informasjonsteknologi,Kunnskaper,"kjenner til forskings- og utviklingsarbeid innanfor fagfeltet, i tillegg til relevante metodar og arbeidsmåtar"
HVL,Bachelor i informasjonsteknologi,Kunnskaper,"kan oppdatere kunnskapen sin innanfor fagfeltet, både gjennom å innhente informasjon og har kontakt med fagmiljø, brukargrupper og praksis"
HVL,Bachelor i informasjonsteknologi,Ferdigheter,"kan bruke kunnskap og relevante resultat frå forskings- og utviklingsarbeid til å løyse teoretiske, tekniske og praktiske problemstillingar innanfor informasjonsteknologi, og grunngje vala sin"
HVL,Bachelor i informasjonsteknologi,Ferdigheter,"meistrar metodar og verktøy for å kunne utføre målretta og innovativt arbeid, inkludert å bruke operativsystem, systemprogramvare og nettverk, utarbeide krav og modellere, utvikle, integrere og evaluere datasystem, og bruker programmeringsverktøy og systemutviklingsmiljø"
HVL,Bachelor i informasjonsteknologi,Ferdigheter,"kan identifisere, planleggje og gjennomføre informasjonsteknologiske prosjekt, arbeidsoppgåver, forsøk og eksperiment, både sjølvstendig og i team"
HVL,Bachelor i informasjonsteknologi,Ferdigheter,"kan finne, vurdere, bruke og vise til informasjon og fagstoff, og framstille dette slik at det kastar lys over ei problemstilling"
HVL,Bachelor i informasjonsteknologi,Ferdigheter,"kan bidra til nytenking, innovasjon og entreprenørskap, ved å vere med på å utvikle og realisere berekraftige og samfunnsnyttige produkt, system og/eller løysingar som informasjonsteknologien er ein del av"
HVL,Bachelor i informasjonsteknologi,Generell_kompetanse,"har innsikt i miljømessige, helsemessige, samfunnsmessige og økonomiske følgjer av produkt og løysingar innanfor informasjonsteknologi, og kan setje desse i eit etisk perspektiv og eit livslaupsperspektiv"
HVL,Bachelor i informasjonsteknologi,Generell_kompetanse,"kan formidle kunnskap om informasjonsteknologi til ulike målgrupper både skriftleg og munnleg på norsk og engelsk, og kan medverke til å synleggjere kor viktig denne teknologien er og kva følgjer han får"
HVL,Bachelor i informasjonsteknologi,Generell_kompetanse,"kan reflektere over eiga fagleg utøving, også i team og i ein tverrfagleg samanheng, og kan tilpasse utøvinga til den aktuelle arbeidssituasjonen"
HVL,Bachelor i informasjonsteknologi,Generell_kompetanse,kan bidra til å utvikle god praksis gjennom å ta del i faglege diskusjonar innanfor eige fagområde og dele kunnskapane og erfaringane sine med andre
HVL,Bachelor i informasjonsteknologi,Generell_kompetanse,"kan identifisere sikkerheits-, sårbarheits-, personverns- og datasikkerheitsaspekt i produkt og system som nyttar IKT."
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
HVL,Bachelor i ingeniørfag data,Kunnskaper,"har brei kunnskap som gir eit heilskapleg systemperspektiv på ingeniørfaget generelt, med fordjuping i dataingeniørfaget; under dette problemløysing, programvareutvikling og grensesnitt og prinsipp for å byggje opp datasystem og datanettverk"
HVL,Bachelor i ingeniørfag data,Kunnskaper,"har grunnleggjande kunnskapar i matematikk, naturvitskap, relevante samfunns- og økonomifag og om korleis ein kan nytte desse i informasjonsteknologisk problemløysing"
HVL,Bachelor i ingeniørfag data,Kunnskaper,"har kunnskap om historia til teknologien, teknologiutvikling, rolla til ingeniøren i samfunnet, relevante lovføresegner knytt til bruken av datateknologi og programvare, og kunnskapar om ulike følgjer ved bruk av informasjonsteknologi"
HVL,Bachelor i ingeniørfag data,Kunnskaper,"kjenner til forskings- og utviklingsarbeid innanfor fagfeltet, i tillegg til relevante metodar og arbeidsmåtar"
HVL,Bachelor i ingeniørfag data,Kunnskaper,"kan oppdatere kunnskapen sin innanfor fagfeltet, både gjennom å innhente informasjon og ha kontakt med fagmiljø, brukargrupper og praksis"
HVL,Bachelor i ingeniørfag data,Ferdigheter,"kan bruke kunnskap og relevante resultat frå forskings- og utviklingsarbeid til å løyse teoretiske, tekniske og praktiske problemstillingar innanfor dataingeniørfaget, og grunngje vala sine"
HVL,Bachelor i ingeniørfag data,Ferdigheter,"meistrar metodar og verktøy for å kunne utføre målretta og innovativt arbeid, inkludert å bruke operativsystem, systemprogramvare og nettverk, utarbeide krav og modellere, utvikle, integrere og evaluere datasystem, og bruke programmeringsverktøy og systemutviklingsmiljø"
HVL,Bachelor i ingeniørfag data,Ferdigheter,"kan identifisere, planleggje og gjennomføre informasjonsteknologiske prosjekt, arbeidsoppgåver, forsøk og eksperiment, både sjølvstendig og i team"
HVL,Bachelor i ingeniørfag data,Ferdigheter,"kan finne, vurdere, bruke og vise til informasjon og fagstoff, og framstille dette slik at det kastar lys over ei problemstilling"
HVL,Bachelor i ingeniørfag data,Ferdigheter,"kan bidra til nytenking, innovasjon og entreprenørskap, ved å vere med på å utvikle og realisere berekraftige og samfunnsnyttige produkt, system og/eller løysingar som informasjonsteknologien er ein del av"
