Skole,Studie program,Læringsutbytte type,Læringsutbytte
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om hvordan strukturere applikasjoner i en gitt arkitektur og etter retningslinjer for god utvikling
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kjennskap til likheter og forskjeller i utvikling av mobile løsninger i forskjellige enheter og nettapplikasjoner tilpasset mobile enheter
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om retningslinjer for hvordan et grensesnittet bør designes for å være brukervennlig og følge standarder for universell utforming
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,kan beskrive datamaskinens virkemåte og sikkerhetsaspekter i sammenheng med dens bruk
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan utvikle nettsider og nettsteder
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan utvikle mobilapplikasjoner
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,"kan anvende rammeverk og biblioteker for innholdsgenering, hendelseshåndtering og design av grensesnitt"
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan kode løsninger som følger standarder som brukbarhet og universell utforming
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,"behersker verktøy som anvendes i industrien for blant annet utvikling (IDE’er), versjonskontroll, prosjektstyring m.m."
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan kommunisere en løsning muntlig og skriftlig
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan planlegge og styre gjennomføringen av et utviklingsprosjekt gjennom prosjektmetoder
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan programmere i flere programmeringsspråk og benytte dertil egnede programmeringsverktøy og utviklingsmiljøer
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Ferdigheter,kan anvende kvantitative og kvalitative undersøkelsesmetoder og begrunne metode ut ifra faglig begrunnelse
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Generell_kompetanse,kan samarbeide med andre i utviklingsprosjekter
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Generell_kompetanse,kan kommunisere med forskjellige typer utviklere som jobber med baksideteknologier og framsideteknologier
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Generell_kompetanse,har innsikt i begrensninger og muligheter som ligger i forskjellige typer mobiløsninger og nettløsninger
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Generell_kompetanse,har gjennom å eksponeres for flere programmeringsspråk og teknologier evnen til å sette seg inn i nye teknologier og programmeringsspråk
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
KRISTIANIA,Bachelor i informasjonsteknologi - Interaktivt design,Kunnskaper,"har kunnskap om sentrale temaer (ide-skapning, identifisering av brukerbehov, evalueringsformer etc.) knyttet til interaksjonsdesign (prosessen) ved utvikling av ulike IT-løsninger.Fokuset er primært rettet mot digitale grensesnitt"
