Skole,Studie program,Læringsutbytte type,Læringsutbytte
NTNU,Bachelor i programmering,Kunnskaper,kjenner historiske trekk innen programmering og karakteristika ved ulike programmeringsspråk
NTNU,Bachelor i programmering,Kunnskaper,forstår ulike programmerings- og datamodelleringsparadigmer
NTNU,Bachelor i programmering,Kunnskaper,har kunnskap om profesjonell arbeidsmetodikk for utvikling av programvare
NTNU,Bachelor i programmering,Kunnskaper,"har kunnskap om dataalgoritmer, databaser, operativsystemer og programvaresikkerhet spesielt rettet mot å programmere robuste og pålitelige løsninger"
NTNU,Bachelor i programmering,Kunnskaper,kjenner og kan anvende matematiske metoder med særlig relevans innen programmering
NTNU,Bachelor i programmering,Kunnskaper,"har forståelse for juridiske, sosiale og etiske konsekvenser av dataprogrammer og dataspill"
NTNU,Bachelor i programmering,Ferdigheter,"har ferdigheter til å skrive god, effektiv og feilfri kildekode og kan teste programvare"
NTNU,Bachelor i programmering,Ferdigheter,"kan utvikle ulike typer programvarer som kan kjøres på forskjellige plattformer og teknologier som web-applikasjoner, mobilløsninger, skybaserte tjenester og dataspill"
NTNU,Bachelor i programmering,Ferdigheter,kan programmere mindre løsninger fra bunnen av og har ferdigheter i å integrere eksisterende tjenester og moduler inn en helhetlig applikasjon med anvendelse av integrerte utviklingsmiljøer
NTNU,Bachelor i programmering,Ferdigheter,"kan løse praktiske problemer innen dataprogrammering og ivareta versjonshåndtering, informasjonssikkerhet og brukeropplevelse i utviklingsprosjekter"
NTNU,Bachelor i programmering,Ferdigheter,"kan undersøke, forstå og videreutvikle eksisterende kildekode i ulike programmeringsspråk"
NTNU,Bachelor i programmering,Ferdigheter,kan programmere gode løsninger på basis av forståelse for brukerkrav og designprinsipper
NTNU,Bachelor i programmering,Ferdigheter,"har kunnskaper innen grafikk-, flertråds- og funksjonell programmering; og ut fra valg av emner har kandidaten kunnskap innen temaer som kunstig intelligens, spillprogrammering eller vitenskapelig programmering (desktop/mobile/web)"
NTNU,Bachelor i programmering,Generell_kompetanse,kan samarbeide i team for å utvikle og presentere løsninger på problemer muntlig og skriftlig
NTNU,Bachelor i programmering,Generell_kompetanse,"evner å finne og bruke relevante trykte og internettbaserte kilder for å løse algoritmiske, designmessige og tekniske problemer"
NTNU,Bachelor i programmering,Generell_kompetanse,har innsikt i akademiske kommunikasjonsformer og evne til å argumentere for valg mellom alternative løsningsformer
NTNU,Bachelor i programmering,Generell_kompetanse,har evne til å oppdatere egen kunnskap og fortsette livslang læring
NTNU,Bachelor i programmering,Generell_kompetanse,Har ferdigheter og evner til å forklare og lære andre (i et lag)
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NTNU,Bachelor i informatikk,Kunnskaper,"Kandidaten kan bruke matematisk analyse, lineær approksimasjon og diskret matematikk til å løse konkrete problemer innen informatikk."
NTNU,Bachelor i informatikk,Kunnskaper,"Kandidaten har forståelse av konstruksjon og virkemåte for moderne datamaskiner og beslektet datateknisk utstyr, og har kunnskap om konsepter og tilhørende teknikker som er nødvendige for styring av, samarbeid og kommunikasjon mellom datamaskiner."
NTNU,Bachelor i informatikk,Kunnskaper,Kandidaten kan programmere og bruke teknikkene og verktøyene som tilhører utvikling og kvalitetssikring av programvare. Kandidaten kan bruke etablerte algoritmer og datastrukturer og metoder for å analysere og effektivisere løsninger.
NTNU,Bachelor i informatikk,Kunnskaper,"Kandidaten har kunnskap om og kan bruke systemutviklingsprosessen og -metodikken for utvikling, integrasjon og evaluering av større informasjonsteknologiske systemer. Kandidaten kjenner og kan bruke begrepsapparat, metoder og teknikker for design og evaluering av grafiske brukergrensesnitt. Kandidaten forstår samspillet mellom informasjonsteknologi og mennesker og organisasjoner. Kandidaten kjenner til og kan bruke webteknologi."
NTNU,Bachelor i informatikk,Kunnskaper,"Kandidaten kan modellere data, konstruere databaseskjemaer og bruke databasehåndteringssystemer. Kandidaten kan velge teknologi og implementere løsninger for lagring og forvaltning av data og informasjon."
NTNU,Bachelor i informatikk,Ferdigheter,"Kandidaten kan identifisere, definere og analysere sammensatte datatekniske problemer og kunde- og brukerbehov og kunne spesifisere, designe, implementere og evaluere datatekniske løsninger."
NTNU,Bachelor i informatikk,Ferdigheter,Kandidaten kan jobbe effektivt med verktøy for modellering og konstruksjon av programvare og dokumentasjon.
NTNU,Bachelor i informatikk,Ferdigheter,Kandidaten kan finne frem til og ha faglige forutsetninger for å benytte seg av eksisterende programvare og rammeverk.
NTNU,Bachelor i informatikk,Generell_kompetanse,Kandidaten kan kommunisere skriftlig og muntlig om eget fag og faglige problemstillinger og løsninger både ovenfor profesjonelle og ikke-spesialister/sluttbrukere.
NTNU,Bachelor i informatikk,Generell_kompetanse,Kandidaten kan forstå informasjonsteknologiens rolle og konsekvenser i et samfunnsperspektiv.
NTNU,Bachelor i informatikk,Generell_kompetanse,Kandidaten har generell kunnskap om bærekraft og etiske spørsmål i relevans til fagområdet.
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NTNU,"Bachelor i ingenioerfag, data",Kunnskaper,"Kandidaten har bred kunnskap som gir et helhetlig systemperspektiv på ingeniørfaget generelt, med fordypning i dataingeniørfaget med fokus på bærekraftig programvareutvikling"
NTNU,"Bachelor i ingenioerfag, data",Kunnskaper,"Kandidaten har dyp kunnskap om utviklingsprosesser, modellering og testing, og kan bruke denne kunnskapen til problemløsning. Dette inkluderer kunnskap om algoritmer og datastrukturer, databaser, operativsystemer, sikkerhet og programmering på ulike abstraksjonsnivå, samt kunnskaper om oppbygging av datamaskiner"
