Skole,Studie program,Læringsutbytte type,Læringsutbytte
OSLOMET,Bachelor-i-informasjonsteknologi,Kunnskaper,"har bred kunnskap om informasjonsteknologi, problemløsning, programvareutvikling, webutvikling og grensesnitt og kjenner prinsippene for oppbygging av datasystemer og datanettverk"
OSLOMET,Bachelor-i-informasjonsteknologi,Kunnskaper,har kunnskap i dataorientert matematikk og andre grunnleggende informatikkemner og kan bruke dem på andre relevante og datarelaterte områder
OSLOMET,Bachelor-i-informasjonsteknologi,Kunnskaper,"har kunnskap om teknologiens historie, teknologiutvikling, teknologens rolle i samfunnet, relevante lovbestemmelser knyttet til bruk av datateknologi og programvare og har kunnskaper om ulike konsekvenser ved bruk av informasjonsteknologi"
OSLOMET,Bachelor-i-informasjonsteknologi,Kunnskaper,"kjenner til forsknings- og utviklingsarbeid innenfor fagfeltet, samt relevante metoder og arbeidsmåter"
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,"kan anvende kunnskap og relevante resultater fra forsknings- og utviklingsarbeid for å løse avanserte teoretiske, tekniske og praktiske problemstillinger innenfor informasjonsteknologifaget og begrunne sine valg"
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,"behersker metoder og verktøy som grunnlag for systematisk, målrettet og innovativt arbeid. Dette inkluderer ferdigheter til å anvende operativsystemer, systemprogramvare og nettverk, utarbeide krav og modellere, utvikle, integrere og evaluere datasystemer, bruke programmeringsverktøy og systemutviklingsmiljø, designe og implementere universelt utformet menneske-maskin-interaksjon i samarbeid med brukere"
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,"kan identifisere, analysere, planlegge og gjennomføre informasjonsteknologiske oppgaver og prosjekter av ulik type både selvstendig og i en gruppe"
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,kan programmere i flere programmeringsspråk og bruke programmeringsverktøy og utviklingsmiljøer
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,kan utføre behovsanalyser og lage løsninger med brukergrensesnitt som ivaretar brukeres ønsker og behov
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,"kan finne, vurdere, bruke og henvise til informasjon og fagstoff og fremstill dette slik at det belyser en problemstilling. Dette inkluderer å søke etter faglitteratur og kritisk vurdere kvaliteten på kilden, sette opp litteraturreferanser i henhold til gjeldende mal"
OSLOMET,Bachelor-i-informasjonsteknologi,Ferdigheter,"kan bidra til nytenkning, innovasjon og entreprenørskap gjennom deltakelse i utvikling og realisering av bærekraftige og samfunnsnyttige produkter, systemer og/eller løsninger der informasjonsteknologi inngår"
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,"har innsikt i miljømessige, helsemessige, samfunnsmessige og økonomiske konsekvenser av produkter og løsninger innenfor sitt fagområde og kan settes disse i et etisk perspektiv og et livsløpsperspektiv"
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,"kan formidle kunnskap om informasjonsteknologi til ulike målgrupper både skriftlig og muntlig på norsk og engelsk, og kan bidra til å synliggjøre denne teknologiens betydning og konsekvenser"
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,"kan reflektere over egen faglig utøvelse, også i team og i en tverrfaglig sammenheng og kan tilpasse denne til den aktuelle arbeidssituasjon"
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,kan bidra til utvikling av god praksis gjennom å delta i faglige diskusjoner innenfor fagområdet og dele sine kunnskaper og erfaringer med andre
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,"har informasjonskompetanse; vet hvorfor man skal søke etter kvalitetssikrede kunnskapskilder, hvorfor man skal henvise til kilder og kjenner til hva som defineres som plagiat og fusk i studentarbeider"
OSLOMET,Bachelor-i-informasjonsteknologi,Generell_kompetanse,"kan oppdatere sin kunnskap gjennom litteraturstudier, informasjonssøking, kontakt med fagmiljøer og brukergrupper og gjennom erfaring"
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
OSLOMET,"Bachelor-i-ingeniørfag, data",Kunnskaper,"har bred kunnskap som gir et helhetlig systemperspektiv på ingeniørfaget generelt, med fordypning i dataingeniørfaget. Sentrale kunnskaper for alle som omfattes av studieprogram data inkluderer problemløsning, programvareutvikling og grensesnitt, samt prinsipper for oppbygging av datasystemer og datanettverk"
OSLOMET,"Bachelor-i-ingeniørfag, data",Kunnskaper,"har grunnleggende kunnskaper i matematikk, naturvitenskap, relevante samfunns- og økonomifag og om hvordan disse kan benyttes i informasjonsteknologiske problemløsninger"
OSLOMET,"Bachelor-i-ingeniørfag, data",Kunnskaper,"har kunnskap om teknologiens historie, teknologiutvikling, ingeniørens rolle i samfunnet, relevante lovbestemmelser knyttet til bruk av datateknologi og programvare og har kunnskaper om ulike konsekvenser ved bruk av informasjonsteknologi"
OSLOMET,"Bachelor-i-ingeniørfag, data",Kunnskaper,"kjenner til forsknings- og utviklingsarbeid innenfor fagfeltet, samt relevante metoder og arbeidsmåter"
