Skole,Studie program,Læringsutbytte type,Læringsutbytte
UIS,"Bachelor-i-ingeniørfag, datateknologi",Kunnskaper,"Kandidaten har bred kunnskap som gir et helhetlig systemperspektiv på ingeniørfaget generelt, med fordypning i dataingeniørfaget. Sentrale kunnskaper for alle som omfattes av studieprogram i datateknologi inkluderer datasikkerhet, databaser, problemløsning, programvareutvikling, samt prinsipper for oppbygging av datasystemer og datanettverk."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Kunnskaper,"Kandidaten har bred ingeniørfaglig og digital kompetanse, har grunnleggende kunnskaper i matematikk, naturvitenskap, relevante samfunns- og økonomifag, og har kunnskap om hvordan disse kan benyttes i datateknologiske problemløsninger."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Kunnskaper,"Kandidaten har kunnskap om teknologiens historie, teknologiutvikling, ingeniørens rolle i samfunnet, relevante lovbestemmelser knyttet til bruk av datateknologi og utvikling av programvare, og har kunnskaper om ulike konsekvenser ved bruk av informasjons- og kommunikasjonsteknologi."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Kunnskaper,"Kandidaten kjenner til forsknings- og utviklingsarbeid innenfor fagfeltet, samt relevante metoder og arbeidsmåter for utvikling og evaluering av programvare- og datasystemer."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Kunnskaper,"Kandidaten kan oppdatere sin kunnskap innenfor datafaget, både gjennom informasjonsinnhenting og kontakt med fagmiljøer, brukergrupper og praksis."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan anvende kunnskap og relevante resultater fra forsknings- og utviklingsarbeid for å løse teoretiske, tekniske og praktiske problemstillinger innenfor dataingeniørfaget og begrunne sine valg."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan anvende operativsystemer, systemprogramvare samt plattformer for beregnings-, lagrings- og nettverksressurser for utvikling og drift av datasystemer."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan arbeide i datalaboratorier og behersker metoder og verktøy som grunnlag for målrettet og innovativt arbeid. Dette inkluderer ferdigheter for spesifikasjon av krav, analyse, modellering, abstraksjon, testing, validering og verifikasjon samt utvikling, integrasjon, og evaluering av datasystemer. Kandidaten kan anvende operativsystemer, systemprogramvare og datanettverk samt programmeringsverktøy, modelleringsverktøy og systemutviklingsmiljø."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan identifisere, planlegge og gjennomføre informasjons- og kommunikasjonsteknologiske prosjekter, arbeidsoppgaver, forsøk og eksperimenter både selvstendig og i team. Kandidaten behersker ulike systemutviklingsmetodikker, kan relatere dem og kan velge metodikk til ulike typer datateknologiske systemutviklingsprosjekter."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan finne, vurdere, bruke og henvise til informasjon og fagstoff og framstille dette slik at det belyser en datateknologisk problemstilling."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Ferdigheter,"Kandidaten kan bidra til nytenkning, innovasjon og entreprenørskap gjennom deltakelse i utvikling og realisering av bærekraftige og samfunnsnyttige produkter, systemer og/eller løsninger der informasjons- og kommunikasjonsteknologi inngår."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Generell_kompetanse,"Kandidaten har innsikt i miljømessige, helsemessige, samfunnsmessige og økonomiske konsekvenser av produkter og løsninger innenfor sitt fagområde og kan sette disse i et etisk perspektiv og et livsløpsperspektiv."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Generell_kompetanse,"Kandidaten kan identifisere sikkerhets-, sårbarhets-, personverns- og datasikkerhetsaspekter i datateknologiske systemløsninger samt integrere og konfigurere standardiserte komponenter for data- og programvaresikkerhet herunder konfidensialitet og tilgjengelighet, informasjonskvalitet og integritet."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Generell_kompetanse,"Kandidaten kan formidle kunnskap om informasjonsteknologi til ulike målgrupper både skriftlig og muntlig på norsk og engelsk, og kan bidra til å synliggjøre denne teknologiens betydning og konsekvenser."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Generell_kompetanse,"Kandidaten kan reflektere over egen faglig utøvelse, også i team og i en tverrfaglig sammenheng, og kan tilpasse denne til den aktuelle arbeidssituasjon."
UIS,"Bachelor-i-ingeniørfag, datateknologi",Generell_kompetanse,Kandidaten kan bidra til utvikling av god praksis gjennom å delta i faglige diskusjoner innenfor fagområdet og dele sine kunnskaper og erfaringer med andre.
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
