Skole,Studie program,Læringsutbytte type,Læringsutbytte
UiA,"Bachelor i ingenioerfag, data",Kunnskaper,"ha inngående kunnskap om datafag, og kunnskap som gir et helhetlig systemperspektiv på datafaget"
UiA,"Bachelor i ingenioerfag, data",Kunnskaper,"ha grunnleggende kunnskaper innen matematikk, naturvitenskap og relevante samfunns- og forretningsfag."
UiA,"Bachelor i ingenioerfag, data",Kunnskaper,"ha kunnskap om teknologiens historie, ingeniørens rolle i samfunnet og teknologiutvikling og kunnskap om samfunnsmessige, miljømessige, etiske og økonomiske konsekvenser av teknologi, samt relevante lovbestemmelser knyttet til bruk av datateknologi og programvare."
UiA,"Bachelor i ingenioerfag, data",Kunnskaper,"kjenne til forskningsutfordringer innen datafag, samt vitenskapelig metodikk og arbeidsmåter innen ingeniørfaget"
UiA,"Bachelor i ingenioerfag, data",Kunnskaper,"kunne oppdatere sin kunnskap innenfor fagfeltet, både gjennom informasjonsinnhenting og kontakt med fagmiljøer, brukergrupper og praksis."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"Studenten evner å anvende og bearbeide kunnskap for å løse teoretiske, tekniske og praktiske problemstillinger både i nytenkning, problemformulering, analyse, spesifikasjon, løsningsgenerering, evaluering, valg og rapportering."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"Studenten kan identifisere, planlegge og gjennomføre datatekniske prosjekter, arbeidsoppgaver, forsøk og eksperimenter både selvstendig og i team."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning softwareutvikling: ha praktiske ferdigheter innen softwareutvikling, samt å kunne fylle roller innen denne prosessen."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning softwareutvikling: beherske objektorientert programmering inkludert algoritmer, datastrukturer."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning softwareutvikling: beherske modellering, programmering og transaksjoner i moderne databasesystem."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning softwareutvikling: kunne utvikle internettjenester og webapplikasjoner, samt forstå grunnleggende sikkerhetsaspekter i denne sammenheng."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,For studieretning softwareutvikling: beherske flere aktuelle programmeringsspråk.
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,For studieretning cybersikkerhet: ha praktiske ferdigheter innen nettverks- og tjenesteadministrasjon.
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,For studieretning cybersikkerhet: beherske objektorientert programmering.
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning cybersikkerhet: ha kunnskap om oppbygging, virkemåte og anvendelse av IKT-tjenester og kunne designe gode infrastrukturløsninger med tanke på så vel effektivitet som sikkerhet."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning cybersikkerhet: kjenne til de sikkerhetsutfordringer som eksisterer i datanettverk og kunne planlegge, og eventuelt aksjonere, for å sikre data."
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,For studieretning cybersikkerhet: beherske drift og konfigurering av moderne katalogtjenester og databasesystem.
UiA,"Bachelor i ingenioerfag, data",Ferdigheter,"For studieretning cybersikkerhet: kunne stå ansvarlig for innføring av nye datasystemer med tanke på både drift, organisasjon og økonomi."
UiA,"Bachelor i ingenioerfag, data",Generell_kompetanse,"Studenten skal kunne arbeide selvstendig eller i gruppe, og kunne formidle problemstillinger og løsninger, både muntlig og skriftlig i faglige, så vel som allmenne, sammenhenger."
UiA,"Bachelor i ingenioerfag, data",Generell_kompetanse,"Studenten er bevisst miljømessige, etiske og økonomiske konsekvenser av informasjonsteknologiske produkter og løsninger og evner å se disse både i et lokalt og et globalt livsløpsperspektiv."
UiA,"Bachelor i ingenioerfag, data",Generell_kompetanse,"Studenter fra studieretning softwareutvikling skal ha kompetanse til å utvikle, vedlikeholde og anvende moderne programsystemer for å kunne analysere og løse problemer for industri og offentlig sektor."
UiA,"Bachelor i ingenioerfag, data",Generell_kompetanse,"Studenter fra studieretning cybersikkerhet skal ha kompetanse til å drifte, konfigurere og designe moderne datainfrastruktur for å kunne løse dagens utfordringer i industri og offentlig sektor."
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
