Skole,Studie program,Læringsutbytte type,Læringsutbytte
UiB,"Bachelor i informatikk, datateknologi",Kunnskaper,har brei kunnskap om både informatikk og matematiske metodar som nyttast for å utvikle avanserte datasystem
UiB,"Bachelor i informatikk, datateknologi",Kunnskaper,har god kjennskap til og erfaring med verktøy og teknikkar som nyttast i moderne systemutvikling
UiB,"Bachelor i informatikk, datateknologi",Kunnskaper,kan på eigenhand utvide sin kunnskap
UiB,"Bachelor i informatikk, datateknologi",Kunnskaper,kjenner informatikken sin relevans for og rolle i samfunnet
UiB,"Bachelor i informatikk, datateknologi",Ferdigheter,kan utvikle programvare
UiB,"Bachelor i informatikk, datateknologi",Ferdigheter,"kan analysere, fornye og vidareutvikle eksisterande programvare"
UiB,"Bachelor i informatikk, datateknologi",Ferdigheter,"kan formulere og løyse problemstillingar på ein logisk og presis måte innan mange områder som er dekt av informatikkfaget, som algoritmar, tryggleik, programmering og nettverk"
UiB,"Bachelor i informatikk, datateknologi",Generell_kompetanse,har eit kritisk og analytisk blikk på eige og andre sitt arbeid
UiB,"Bachelor i informatikk, datateknologi",Generell_kompetanse,kan kommunisere med andre yrkesutøvarar om tema innanfor informatikk
UiB,"Bachelor i informatikk, datateknologi",Generell_kompetanse,kan arbeide både sjølvstendig og i grupper
UiB,"Bachelor i informatikk, datateknologi",Generell_kompetanse,kan vurdere yrkesetiske sider ved arbeidet
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
UiB,Bachelor i kunstig intelligens,Kunnskaper,har brei teoretisk forståing av korleis kunstig intelligens-støtta system (AI-system) fungerer og er konstruerte.
UiB,Bachelor i kunstig intelligens,Kunnskaper,"forstår korleis ein programmerer og eksperimenterer med AI-system ved hjelp av metodar frå maskinlæring, symbolsk resonnering og algoritme-analyse."
UiB,Bachelor i kunstig intelligens,Kunnskaper,forstår korleis tekniske kunstig intelligens-løysingar kan ha etisk relevans for samfunn og individ.
UiB,Bachelor i kunstig intelligens,Ferdigheter,kan programmere nye kunstig intelligens-system og eksperimentere med eksisterande system
UiB,Bachelor i kunstig intelligens,Ferdigheter,"kan analysere, beskrive og løyse problem ved å nytte kunstig intelligens-metodar"
UiB,Bachelor i kunstig intelligens,Ferdigheter,"kan evaluere eit kunstig intelligens-system med omsyn til i kor stor grad det kan gjerast ansvarleg, er transparent og kan ta balanserte avgjerder."
UiB,Bachelor i kunstig intelligens,Ferdigheter,kan forklare kunstig intelligens-teori til ikkje-fagpersonar.
UiB,Bachelor i kunstig intelligens,Generell_kompetanse,"kan bidra som IKT-systemutviklar i ulike typar roller, i eit spenn som omfattar alt frå kommunikasjon med brukarane til avansert teknisk utvikling"
UiB,Bachelor i kunstig intelligens,Generell_kompetanse,kan samarbeide i gruppe- og prosjektarbeid
UiB,Bachelor i kunstig intelligens,Generell_kompetanse,kan utarbeide skriftlege rapportar og dokumentasjon og gje munnleg presentasjon av eiget arbeid
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
