Skole,Studie program,Læringsutbytte type,Læringsutbytte
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,"Du forstår hvordan IT påvirker individ, organisasjon og samfunn og omvendt:"
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du har solide kunnskaper om prinsipper for brukermedvirkning.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du har god kjennskap til arbeidsformer innen interaksjonsdesign.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du kjenner til prinsipper og lovverk knyttet til IT-løsninger.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du har grunnleggende kunnskap om informasjonssystemer og IT-løsninger.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,"Du kan forklare sentrale begreper innenfor design, bruk og interaksjon med IT-løsninger:"
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du kan beskrive og forklare interaksjonen mellom mennesker og IT.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du kjenner til en rekke forskjellige teknikker og verktøy for systemutvikling.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du forstår muligheter og begrensninger i programvare.
UiO,"Informatikk: Design, bruk og interaksjon",Kunnskaper,Du kan forklare hvordan datamaskiner er bygd opp og fungerer.
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,"Du kan analysere IT-løsninger på alle nivåer: individ, organisasjon og samfunn:"
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kan vurdere om nye IT-løsninger er mulige og ønskelige.
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kjenner til lover og regelverk som påvirker design og bruk av IT som for eksempel regler for arbeidsmiljø og personvern.
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,"Du kan lage og forstå dataprogrammer, og du kan velge blant og bruke hensiktsmessige relevante teknikker og verktøy."
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kan utvikle IT-løsninger som er brukbare og effektive fra første stund og over tid:
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kan bruke metoder for å samarbeide med brukere om å utforme IT-løsninger.
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kan kombinere kunnskap om brukernes behov med muligheter og begrensninger i IT.
UiO,"Informatikk: Design, bruk og interaksjon",Ferdigheter,Du kan analysere og forstå hvordan IT inngår i større tekniske og sosiale systemer.
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,"Du kan reflektere over sentrale etiske, samfunnsmessige og faglige problemstillinger i forhold til eget og andres arbeid."
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,Du kan ivareta brukernes behov i IT-prosjekter basert på kunnskap om deres behov og en kritisk vurdering av brukssituasjonen:
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,"Du kan jobbe metodisk og langsiktig, individuelt og i samarbeid med andre."
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,Du kan kommunisere eget arbeid skriftlig og muntlig på en god måte.
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,Du kan anlegge et selvstendig og kritisk blikk på eget og andres arbeid.
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,Du kan skape og gjenkjenne velbegrunnet argumentasjon for egen faglig posisjon.
UiO,"Informatikk: Design, bruk og interaksjon",Generell_kompetanse,"Du har en utforskende og kritisk holdning til kunnskap og læring, søker nyskapning og innovasjon i vid forstand."
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
