Skole,Studie program,Læringsutbytte type,Læringsutbytte
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,"Du har kunnskaper om økonomi, markedsføring, organisasjonsledelse og strategi for høyteknologiske bedrifter:"
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,"Du forstår hvordan teknologi utvikler seg over tid, og hvordan utviklingen påvirker markeder og bedrifters strategiske handlingsrom."
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,"Du forstår hvordan teknologisk baserte tjenester og produkter utformes, og hvilke forretningsmodeller som kan brukes for å skape teknologiske bedrifter."
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,Du kjenner til teori om gruppe- og prosjektarbeid i teknologibedrifter.
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,"Du har kunnskaper om programvares, datamaskiners og datanetts oppbygging, virkemåte og sikkerhet:"
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,"Du forstår hvordan store datasystemer er bygget opp og hvordan de modelleres, programmeres, valideres og vedlikeholdes."
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,Du kjenner datateknologiens muligheter og begrensninger.
UiO,Informatikk: Digital oekonomi og ledelse,Kunnskaper,Du har gode kunnskaper om IKT sin rolle i bedrifter og samfunn.
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,"Du kan bidra i ledelsen av teknologisk bedrifter, og fungere som et bindeledd mellom teknologisk kompetanse og andre deler av bedrifter og organisasjoner:"
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,"Du kan analysere og kommunisere ditt syn på teknologisk utvikling, bidra til bedriftens innovasjon og gjenkjenne tegn på teknologisk disrupsjon."
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,"Du kan arbeide både selvstendig og i grupper og du kan, etter noe videre opplæring, lede slike grupper."
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,Du kan analysere kundebehov og utforme markedsføringsstrategier for teknologiske produkter og tjenester:
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,Du forstår økonomiske modeller og regnskap og kan utøve den økonomiske kontroll som kreves i et teknologiselskap.
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,Du forstår finansiell teori og kan analysere investeringer i teknologi og markedsutvikling.
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,Du kan utvikle og programmere middels store datasystemer og følge med på fagets utvikling:
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,Du kan lage effektive og sikre programmer og programmer av god kvalitet.
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,"Du kan bruke aktuell programvare som verktøy, og lære deg å bruke nye verktøy."
UiO,Informatikk: Digital oekonomi og ledelse,Ferdigheter,"Du behersker å lese, forstå og kommunisere relevant fagstoff og sette deg inn i nye aspekter av faget."
UiO,Informatikk: Digital oekonomi og ledelse,Generell_kompetanse,"Du kan reflektere over sentrale etiske, samfunnsmessige og faglige problemstillinger i forhold til eget og andres arbeid."
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
