Skole,Studie program,Læringsutbytte type,Læringsutbytte
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,"Du har kunnskaper om programvares, datamaskiners og datanetts oppbygging, virkemåte og sikkerhet, og hvordan slike systemer utvikles:"
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,"Du har noe dybdekunnskaper i hvordan store datasystemer modelleres, programmeres, valideres og vedlikeholdes."
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,"Du har dybdekunnskaper innen enten programmering, operativsystemer/datakommunikasjon eller det teoretiske grunnlaget for programmering."
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,Du kjenner datateknologiens muligheter og begrensninger.
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,Du forstår datasystemers rolle i bedrifter og samfunn.
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,"Du forstår grunnleggende prinsipper innen informatikk generelt og programvareutvikling spesielt, og kan bruke dette som basis for tilegnelse av kunnskap om nye teknologier og verktøy."
UiO,Informatikk: Programmering og systemarkitektur,Kunnskaper,Du kjenner til teori om gruppe- og prosjektarbeid i forbindelse med utvikling av datasystemer.
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,Du kan utvikle og programmere middels store datasystemer og følge med på fagets utvikling:
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,Du kan lage effektive og sikre programmer og programmer av god kvalitet.
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,"Du kan bruke aktuell programvare som verktøy, og lett lære deg å bruke nye verktøy."
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,"Du behersker å sette deg inn i en problemstilling innen et anvendelsesområde, og du kan rådgi systemeiere om hva og hvordan oppgaver bør løses i et datasystem."
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,"Du kan arbeide med systemutvikling både selvstendig og i grupper og du kan, etter noe videre utdanning og/eller praksis, lede slike grupper."
UiO,Informatikk: Programmering og systemarkitektur,Ferdigheter,"Du behersker å lese, forstå og kommunisere relevant fagstoff og sette deg inn i nye aspekter av faget."
UiO,Informatikk: Programmering og systemarkitektur,Generell_kompetanse,"Du kan reflektere over sentrale etiske, samfunnsmessige og faglige problemstillinger i forhold til eget og andres arbeid."
------,------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
